net,training_dataset,num_params,depth,lr,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20
"[C(128,1,1), C(256,5,1), D(1,2), P(5,3), SM(10)]",svhn,819584,4,0.0004,0.4906,0.4766,0.4964,0.4986,0.4914,0.5278,0.5186,0.5232,0.5254,0.5234,0.535,0.5376,0.5364,0.5394,0.6596,0.6754,0.6798,0.6796,0.6822,0.6832
"[C(256,3,1), C(128,1,1), D(1,6), C(64,5,1), C(256,3,1), D(2,6), C(64,5,1), C(128,1,1), D(3,6), C(256,5,1), P(5,3), D(4,6), C(256,5,1), C(512,1,1), D(5,6), C(128,5,1), C(512,1,1), D(6,6), SM(10)]",svhn,5364480,13,0.0004,0.7736,0.8402,0.8568,0.8854,0.8938,0.916,0.9194,0.92,0.9218,0.925,0.9274,0.928,0.9288,0.9286,0.9308,0.9314,0.9296,0.931,0.9328,0.9322
"[C(256,1,1), C(128,1,1), D(1,4), C(512,3,1), C(256,1,1), D(2,4), C(128,3,1), C(128,3,1), D(3,4), C(512,1,1), SM(10)]",svhn,1524480,8,0.000064,0.5758,0.6412,0.6742,0.7648,0.7914,0.8326,0.841,0.8422,0.844,0.8474,0.8556,0.8544,0.8548,0.856,0.856,0.8552,0.856,0.8556,0.8554,0.856
"[C(64,5,1), C(128,5,1), D(1,4), C(128,5,1), C(64,3,1), D(2,4), C(64,1,1), C(512,5,1), D(3,4), P(2,2), SM(10)]",svhn,1516224,8,0.001,0.7914,0.8354,0.8542,0.8654,0.8712,0.8916,0.8974,0.898,0.8982,0.9004,0.9072,0.909,0.9082,0.909,0.9088,0.9098,0.9102,0.9106,0.911,0.9108
"[C(256,1,1), C(128,3,1), D(1,5), C(256,1,1), C(64,3,1), D(2,5), C(64,3,1), C(256,5,1), D(3,5), C(512,3,1), C(128,1,1), D(4,5), C(256,5,1), C(64,1,1), D(5,5), C(512,5,1), GAP(10), SM(10)]",svhn,3827456,13,0.000064,0.2856,0.617,0.8316,0.8758,0.8944,0.908,0.9066,0.9112,0.9118,0.9102,0.9226,0.9224,0.9238,0.9248,0.9244,0.9266,0.9266,0.9264,0.9262,0.926
"[C(256,1,1), C(64,3,1), D(1,4), C(64,1,1), C(128,5,1), D(2,4), C(128,1,1), C(128,1,1), D(3,4), C(512,1,1), SM(10)]",svhn,717568,8,0.000064,0.6102,0.7818,0.818,0.833,0.8416,0.8624,0.8646,0.864,0.8654,0.8714,0.8774,0.877,0.878,0.8782,0.8798,0.883,0.8826,0.8836,0.8824,0.882
"[C(512,5,1), C(256,3,1), D(1,4), P(2,2), C(128,5,1), D(2,4), C(256,3,1), C(128,3,1), D(3,4), C(512,5,1), C(512,1,1), D(4,4), GAP(10), SM(10)]",svhn,4532736,10,0.0004,0.2782,0.7192,0.8862,0.8998,0.9162,0.9334,0.9344,0.9348,0.9356,0.9352,0.9442,0.9458,0.9448,0.9462,0.9472,0.9474,0.949,0.9486,0.9494,0.9482
"[C(64,5,1), C(512,3,1), D(1,4), C(128,3,1), C(256,5,1), D(2,4), C(64,5,1), C(256,3,1), D(3,4), P(2,2), SM(10)]",svhn,2265792,8,0.000026,0.601,0.6934,0.7338,0.7964,0.8326,0.857,0.8642,0.8678,0.873,0.8752,0.8822,0.8824,0.883,0.883,0.8834,0.8828,0.883,0.8834,0.8838,0.8842
"[C(512,1,1), P(2,2), D(1,6), C(64,3,1), C(256,5,1), D(2,6), C(64,5,1), C(128,1,1), D(3,6), P(5,3), C(128,1,1), D(4,6), FC(128), D(5,6), SM(10)]",svhn,1418752,10,0.0004,0.7174,0.821,0.8388,0.8448,0.8608,0.8906,0.893,0.8942,0.8954,0.9006,0.9026,0.9044,0.9072,0.905,0.9054,0.905,0.9058,0.9052,0.9064,0.9058
"[C(256,5,1), C(256,5,1), D(1,6), C(256,5,1), C(128,5,1), D(2,6), C(512,5,1), C(128,1,1), D(3,6), C(64,5,1), P(3,2), D(4,6), C(512,3,1), C(64,3,1), D(5,6), C(256,1,1), C(512,1,1), D(6,6), SM(10)]",svhn,7023360,13,0.000064,0.7644,0.8556,0.8862,0.8964,0.8986,0.9224,0.9214,0.9252,0.9264,0.9284,0.9334,0.9322,0.9352,0.9348,0.9328,0.9348,0.9352,0.934,0.935,0.9342
"[C(512,3,1), C(512,5,1), D(1,2), C(512,1,1), SM(10)]",svhn,7091712,4,0.000064,0.6716,0.7138,0.794,0.7944,0.7762,0.8294,0.8306,0.8282,0.8332,0.8324,0.841,0.8416,0.8422,0.8462,0.845,0.85,0.8492,0.85,0.851,0.8498
"[C(64,1,1), C(64,3,1), D(1,3), C(128,3,1), P(5,3), D(2,3), C(256,3,1), SM(10)]",svhn,995520,6,0.001,0.779,0.8228,0.8272,0.8342,0.8422,0.8658,0.8688,0.8716,0.879,0.8796,0.8864,0.8864,0.8856,0.8884,0.889,0.89,0.8906,0.8902,0.8896,0.8912
"[C(64,3,1), C(128,3,1), D(1,3), C(512,5,1), C(256,3,1), D(2,3), P(2,2), C(128,3,1), D(3,3), SM(10)]",svhn,3335872,7,0.0004,0.6886,0.87,0.893,0.9,0.9088,0.9252,0.9244,0.9284,0.9282,0.9322,0.933,0.9322,0.9316,0.9334,0.9322,0.9334,0.9336,0.9334,0.934,0.9342
"[C(64,5,1), C(512,3,1), D(1,5), P(2,2), C(256,3,1), D(2,5), C(256,3,1), C(512,5,1), D(3,5), P(2,2), C(512,1,1), D(4,5), P(2,2), SM(10)]",svhn,5608128,10,0.001,0.8472,0.885,0.9056,0.9062,0.908,0.93,0.933,0.9358,0.9344,0.9364,0.944,0.9448,0.9442,0.945,0.9438,0.9434,0.9432,0.9444,0.9436,0.944
"[C(128,3,1), C(128,3,1), D(1,2), P(3,2), SM(10)]",svhn,150912,4,0.0004,0.6616,0.6814,0.6906,0.6844,0.6992,0.7188,0.721,0.7408,0.78,0.7868,0.7932,0.7952,0.7986,0.7986,0.799,0.8024,0.802,0.8026,0.8028,0.8028
"[C(512,3,1), C(64,3,1), D(1,4), P(2,2), C(128,1,1), D(2,4), C(64,5,1), C(128,3,1), D(3,4), P(2,2), SM(10)]",svhn,595456,8,0.00016,0.6578,0.7368,0.7812,0.8126,0.8206,0.8498,0.8454,0.852,0.8512,0.8568,0.8636,0.8618,0.8626,0.8636,0.8638,0.866,0.8656,0.8678,0.8668,0.8682
"[C(64,3,1), P(2,2), D(1,5), C(128,5,1), P(2,2), D(2,5), C(128,5,1), C(64,5,1), D(3,5), C(128,3,1), C(512,1,1), D(4,5), C(128,3,1), C(64,5,1), D(5,5), SM(10)]",svhn,1857216,11,0.001,0.776,0.8478,0.8804,0.8944,0.8912,0.9162,0.9162,0.9218,0.9218,0.9274,0.9316,0.9326,0.9332,0.9336,0.935,0.9354,0.936,0.9362,0.9356,0.9378
"[C(64,3,1), P(2,2), D(1,1), SM(10)]",svhn,1728,3,0.001,0.617,0.5996,0.6352,0.6316,0.6474,0.708,0.717,0.7172,0.7316,0.7312,0.7398,0.7442,0.745,0.7472,0.7492,0.7504,0.7506,0.7512,0.7528,0.7554
"[C(512,5,1), C(256,3,1), D(1,6), C(128,5,1), C(256,5,1), D(2,6), C(512,3,1), C(256,3,1), D(3,6), C(128,1,1), P(2,2), D(4,6), C(128,5,1), P(5,3), D(5,6), C(64,1,1), C(64,1,1), D(6,6), SM(10)]",svhn,5674496,13,0.00016,0.4128,0.7372,0.8598,0.8876,0.8988,0.9182,0.9204,0.923,0.9262,0.928,0.934,0.936,0.935,0.9364,0.9356,0.9372,0.9378,0.936,0.937,0.9372
"[C(64,5,1), SM(10)]",svhn,107200,2,0.001,0.5186,0.5624,0.5716,0.562,0.5052,0.617,0.6172,0.6156,0.6258,0.622,0.6506,0.6486,0.6506,0.6542,0.6566,0.6688,0.6706,0.6698,0.6692,0.6702
"[C(128,5,1), C(128,5,1), D(1,2), C(256,1,1), C(64,1,1), D(2,2), GAP(10), SM(10)]",svhn,468992,6,0.00016,0.2808,0.3148,0.312,0.3798,0.4212,0.4042,0.4052,0.4112,0.405,0.4062,0.4056,0.4034,0.4062,0.4002,0.3994,0.403,0.3984,0.4002,0.399,0.3984
"[C(64,3,1), P(5,3), D(1,1), SM(10)]",svhn,1728,3,0.001,0.4906,0.5244,0.553,0.5672,0.5796,0.6448,0.6484,0.657,0.6586,0.674,0.6918,0.7008,0.708,0.716,0.7176,0.7252,0.7248,0.7258,0.7288,0.7284
"[C(512,1,1), C(128,3,1), D(1,1), SM(10)]",svhn,738816,3,0.000064,0.5922,0.6998,0.7428,0.7,0.7288,0.7728,0.777,0.7764,0.774,0.7662,0.7792,0.7892,0.7926,0.7914,0.794,0.795,0.7968,0.795,0.7948,0.7948
"[C(256,1,1), C(128,1,1), D(1,2), C(512,3,1), C(64,3,1), D(2,2), SM(10)]",svhn,955136,5,0.000064,0.5128,0.498,0.5774,0.6174,0.644,0.6566,0.6584,0.6688,0.6672,0.6766,0.6718,0.672,0.671,0.6744,0.6734,0.673,0.6736,0.6732,0.6726,0.6738
"[C(256,5,1), SM(10)]",svhn,1657600,2,0.001,0.4592,0.5064,0.5764,0.5778,0.5908,0.6544,0.6564,0.6622,0.6586,0.6596,0.6906,0.6918,0.691,0.6906,0.6896,0.6976,0.6954,0.695,0.695,0.6956
"[C(128,5,1), C(512,5,1), D(1,4), C(256,3,1), C(256,5,1), D(2,4), P(2,2), C(128,5,1), D(3,4), C(64,5,1), SM(10)]",svhn,5592448,8,0.001,0.3254,0.8414,0.8666,0.892,0.9006,0.9144,0.9188,0.9176,0.92,0.9234,0.9314,0.9314,0.9308,0.9322,0.9318,0.9304,0.931,0.9302,0.931,0.931
"[C(64,5,1), C(256,5,1), D(1,8), P(3,2), C(512,1,1), D(2,8), C(64,3,1), C(64,5,1), D(3,8), C(256,3,1), C(512,5,1), D(4,8), C(256,3,1), P(3,2), D(5,8), FC(512), D(6,8), FC(512), D(7,8), SM(10)]",svhn,12493504,13,0.0004,0.8144,0.8792,0.907,0.9124,0.917,0.933,0.9336,0.938,0.9374,0.939,0.9464,0.9464,0.9458,0.946,0.9448,0.9448,0.9464,0.9474,0.9468,0.9452
"[C(128,5,1), P(2,2), D(1,3), C(256,1,1), C(256,3,1), D(2,3), P(3,2), C(128,3,1), D(3,3), SM(10)]",svhn,1074560,7,0.001,0.3046,0.7992,0.8328,0.8568,0.8622,0.8852,0.8904,0.894,0.8942,0.9006,0.9142,0.9104,0.9152,0.916,0.9156,0.9164,0.9174,0.9182,0.9198,0.9194
"[C(64,1,1), C(256,1,1), D(1,3), C(64,1,1), C(256,1,1), D(2,3), C(128,3,1), SM(10)]",svhn,491712,6,0.0004,0.2894,0.4158,0.4536,0.5112,0.4892,0.5374,0.5364,0.5354,0.5386,0.5388,0.6314,0.6564,0.6636,0.6686,0.6738,0.6712,0.6724,0.674,0.673,0.6734
"[C(512,5,1), SM(10)]",svhn,6592000,2,0.001,0.5754,0.6098,0.6196,0.6436,0.6372,0.712,0.709,0.7086,0.7034,0.6978,0.7228,0.7184,0.7158,0.7158,0.7144,0.714,0.7138,0.7124,0.7128,0.7114
"[C(256,5,1), P(2,2), D(1,3), C(128,1,1), C(128,5,1), D(2,3), C(64,3,1), C(256,1,1), D(3,3), GAP(10), SM(10)]",svhn,554240,8,0.001,0.3926,0.7756,0.8712,0.8796,0.8982,0.9136,0.9146,0.9166,0.9186,0.919,0.9252,0.9246,0.9254,0.927,0.9272,0.9272,0.9268,0.9274,0.9272,0.9274
"[C(256,1,1), C(256,5,1), D(1,4), C(128,1,1), C(64,5,1), D(2,4), P(2,2), C(512,1,1), D(3,4), C(512,3,1), C(512,1,1), D(4,4), SM(10)]",svhn,4793088,9,0.000064,0.6034,0.796,0.8286,0.854,0.8632,0.8898,0.892,0.8962,0.897,0.897,0.9038,0.9052,0.906,0.9054,0.9064,0.9066,0.9058,0.907,0.907,0.9074
"[C(512,3,1), P(2,2), D(1,6), C(512,3,1), C(256,5,1), D(2,6), C(128,3,1), C(512,1,1), D(3,6), C(512,1,1), C(64,3,1), D(4,6), C(512,3,1), C(128,1,1), D(5,6), C(128,5,1), C(128,5,1), D(6,6), SM(10)]",svhn,8156672,13,0.00016,0.6982,0.8506,0.8866,0.8926,0.901,0.923,0.9284,0.9282,0.9286,0.9264,0.9336,0.9324,0.9324,0.9336,0.9338,0.9322,0.932,0.9326,0.9326,0.9326
"[C(128,1,1), C(256,3,1), D(1,2), C(512,5,1), C(256,3,1), D(2,2), SM(10)]",svhn,5341568,5,0.00016,0.615,0.821,0.8482,0.864,0.8662,0.8882,0.8876,0.8916,0.8918,0.8928,0.8992,0.901,0.898,0.9004,0.901,0.9038,0.9058,0.905,0.905,0.9042
"[C(256,5,1), C(512,5,1), D(1,6), C(64,3,1), C(256,1,1), D(2,6), C(512,3,1), C(64,5,1), D(3,6), C(128,5,1), C(128,5,1), D(4,6), P(5,3), C(256,5,1), D(5,6), C(256,1,1), P(5,3), D(6,6), SM(10)]",svhn,7105280,13,0.000064,0.338,0.6038,0.7236,0.8012,0.8448,0.8702,0.8812,0.8862,0.891,0.8968,0.8992,0.9022,0.902,0.9036,0.9026,0.9032,0.9028,0.9048,0.905,0.9042
"[C(256,5,1), C(512,1,1), D(1,3), C(256,5,1), C(128,3,1), D(2,3), C(64,5,1), C(512,5,1), D(3,3), C(256,1,1), GAP(10), SM(10)]",svhn,4879616,9,0.000064,0.3132,0.655,0.8114,0.856,0.8784,0.8778,0.8786,0.8742,0.8806,0.8796,0.8962,0.8952,0.8962,0.897,0.8962,0.904,0.9042,0.904,0.9046,0.9048
"[C(64,3,1), C(64,3,1), D(1,4), C(256,3,1), C(256,3,1), D(2,4), P(3,2), C(128,1,1), D(3,4), C(512,5,1), C(128,1,1), D(4,4), SM(10)]",svhn,2528960,9,0.0004,0.8622,0.9006,0.8996,0.9112,0.9256,0.9368,0.9416,0.9416,0.9396,0.9442,0.9482,0.9458,0.947,0.947,0.9466,0.9482,0.9478,0.9472,0.9474,0.9478
"[C(256,3,1), C(512,3,1), D(1,6), C(256,3,1), C(512,5,1), D(2,6), C(128,3,1), C(64,1,1), D(3,6), C(128,5,1), P(3,2), D(4,6), C(256,1,1), P(5,3), D(5,6), C(256,1,1), C(512,1,1), D(6,6), SM(10)]",svhn,6937344,13,0.00016,0.4004,0.7254,0.8264,0.8684,0.8862,0.9014,0.9048,0.9052,0.9084,0.9104,0.9206,0.9222,0.9228,0.922,0.9208,0.9228,0.924,0.9224,0.9236,0.923
"[C(512,5,1), C(512,1,1), D(1,3), C(512,3,1), C(128,3,1), D(2,3), C(64,5,1), C(64,1,1), D(3,3), GAP(10), SM(10)]",svhn,3459200,8,0.001,0.2792,0.4108,0.6768,0.7424,0.7978,0.8178,0.8278,0.8272,0.832,0.845,0.8482,0.848,0.8528,0.8502,0.8536,0.853,0.8516,0.853,0.8534,0.8532
"[C(64,5,1), C(128,5,1), D(1,2), P(2,2), SM(10)]",svhn,209600,4,0.00016,0.7802,0.7994,0.8092,0.8096,0.8224,0.8264,0.8296,0.8304,0.8286,0.8306,0.8462,0.8444,0.8428,0.8442,0.8438,0.8452,0.845,0.8456,0.8466,0.845
"[C(128,5,1), C(64,1,1), D(1,6), C(256,5,1), C(256,5,1), D(2,6), C(512,5,1), C(256,3,1), D(3,6), C(64,3,1), C(128,5,1), D(4,6), P(2,2), C(64,1,1), D(5,6), C(64,5,1), C(128,1,1), D(6,6), SM(10)]",svhn,7009664,13,0.0004,0.8374,0.891,0.9062,0.92,0.9158,0.9356,0.9336,0.934,0.9342,0.9328,0.9418,0.9404,0.9406,0.9416,0.9414,0.9406,0.9404,0.941,0.94,0.9398
"[C(64,3,1), C(128,5,1), D(1,6), C(256,1,1), C(64,3,1), D(2,6), C(256,1,1), C(256,5,1), D(3,6), C(256,1,1), C(512,3,1), D(4,6), C(512,5,1), C(128,3,1), D(5,6), P(5,3), C(64,3,1), D(6,6), SM(10)]",svhn,10540736,13,0.0004,0.7472,0.8398,0.8826,0.904,0.9126,0.9222,0.9234,0.9244,0.925,0.9292,0.931,0.9316,0.9318,0.9348,0.9348,0.9354,0.9352,0.9358,0.9352,0.936
"[C(512,5,1), C(512,1,1), D(1,4), C(512,3,1), C(64,3,1), D(2,4), C(512,5,1), C(512,5,1), D(3,4), C(256,1,1), C(64,3,1), D(4,4), C(512,3,1), GAP(10), SM(10)]",svhn,10906112,11,0.000064,0.2974,0.5362,0.7838,0.8608,0.8842,0.9042,0.9078,0.91,0.9138,0.9168,0.9192,0.9202,0.9224,0.9224,0.9224,0.922,0.9208,0.9216,0.922,0.9216
"[C(64,3,1), C(512,3,1), D(1,3), P(2,2), C(256,3,1), D(2,3), C(64,5,1), C(64,1,1), D(3,3), SM(10)]",svhn,1894080,7,0.001,0.6612,0.737,0.7914,0.8046,0.8572,0.8776,0.8884,0.8934,0.8992,0.9026,0.9084,0.9114,0.9146,0.914,0.9184,0.9184,0.9198,0.9202,0.9206,0.9214
"[C(128,5,1), SM(10)]",svhn,419200,2,0.001,0.4514,0.5284,0.5752,0.5818,0.6252,0.6726,0.6748,0.675,0.6694,0.6728,0.7058,0.7042,0.7044,0.703,0.7026,0.7114,0.7126,0.7122,0.7158,0.7178
"[C(64,5,1), C(256,3,1), D(1,6), C(128,1,1), P(2,2), D(2,6), C(256,5,1), C(64,1,1), D(3,6), C(512,1,1), C(64,5,1), D(4,6), C(64,3,1), C(64,1,1), D(5,6), C(64,5,1), C(64,1,1), D(6,6), SM(10)]",svhn,2024128,13,0.0004,0.7972,0.8746,0.8814,0.9052,0.9132,0.9286,0.9298,0.9324,0.9344,0.9354,0.9374,0.9366,0.9378,0.937,0.9386,0.9402,0.94,0.9402,0.9408,0.94
"[C(128,1,1), C(256,5,1), D(1,5), C(512,5,1), C(512,3,1), D(2,5), P(2,2), C(256,3,1), D(3,5), C(128,1,1), P(2,2), D(4,5), C(128,1,1), SM(10)]",svhn,7700864,10,0.0004,0.5854,0.8328,0.8478,0.871,0.871,0.8982,0.9022,0.901,0.9046,0.903,0.912,0.9134,0.9174,0.9158,0.9162,0.9192,0.9202,0.92,0.9198,0.9202
"[C(256,3,1), P(5,3), D(1,1), SM(10)]",svhn,6912,3,0.001,0.677,0.6504,0.628,0.624,0.6638,0.7092,0.7136,0.7152,0.7068,0.7118,0.74,0.742,0.7494,0.745,0.7456,0.749,0.7494,0.7518,0.751,0.7536
"[C(64,3,1), C(128,3,1), D(1,1), SM(10)]",svhn,222912,3,0.0004,0.6968,0.7744,0.7652,0.7434,0.5778,0.781,0.807,0.8108,0.8134,0.817,0.813,0.8162,0.817,0.8192,0.818,0.8262,0.8276,0.8266,0.825,0.8266
"[C(256,1,1), C(512,3,1), D(1,2), P(2,2), SM(10)]",svhn,1180416,4,0.00016,0.643,0.7366,0.7178,0.7364,0.728,0.7892,0.7944,0.7922,0.7944,0.7972,0.8048,0.8058,0.8052,0.804,0.807,0.806,0.8062,0.8064,0.8062,0.8054
"[C(256,5,1), C(512,3,1), D(1,2), C(64,5,1), P(5,3), D(2,2), GAP(10), SM(10)]",svhn,2018688,6,0.0004,0.2848,0.3362,0.4748,0.679,0.728,0.756,0.7606,0.762,0.7858,0.7804,0.7978,0.7978,0.7988,0.8038,0.804,0.8034,0.8032,0.8048,0.8046,0.8022
"[C(512,3,1), C(128,3,1), D(1,6), C(256,5,1), P(3,2), D(2,6), C(256,3,1), C(64,3,1), D(3,6), C(256,5,1), C(256,3,1), D(4,6), C(256,5,1), C(64,3,1), D(5,6), C(64,3,1), C(64,1,1), D(6,6), SM(10)]",svhn,4990464,13,0.00016,0.7516,0.8782,0.9084,0.919,0.9288,0.937,0.9378,0.9362,0.9382,0.9386,0.945,0.945,0.9472,0.9472,0.9476,0.9486,0.948,0.9484,0.9488,0.9486
"[C(64,5,1), P(3,2), D(1,3), C(512,3,1), P(2,2), D(2,3), C(512,3,1), SM(10)]",svhn,5018304,6,0.0004,0.4024,0.6992,0.717,0.7958,0.8342,0.8516,0.8488,0.8574,0.864,0.8706,0.8844,0.8836,0.8844,0.8882,0.8916,0.8934,0.8926,0.8932,0.8928,0.8944
"[C(512,5,1), C(256,5,1), D(1,6), C(256,1,1), C(512,1,1), D(2,6), C(512,3,1), C(128,5,1), D(3,6), C(128,3,1), C(512,3,1), D(4,6), C(64,1,1), P(3,2), D(5,6), C(512,1,1), P(2,2), D(6,6), SM(10)]",svhn,8312320,13,0.000026,0.3856,0.6924,0.7324,0.7672,0.8036,0.8334,0.8376,0.8434,0.848,0.8542,0.8564,0.8564,0.8578,0.8588,0.86,0.8592,0.8602,0.8602,0.8608,0.861
"[C(128,1,1), C(256,3,1), D(1,4), C(256,1,1), P(2,2), D(2,4), C(128,1,1), C(64,1,1), D(3,4), C(64,3,1), SM(10)]",svhn,475520,8,0.001,0.4794,0.8054,0.8124,0.8252,0.8074,0.863,0.864,0.873,0.8772,0.8742,0.886,0.8852,0.8844,0.8872,0.8854,0.8866,0.8874,0.8866,0.8864,0.8868
"[C(256,5,1), C(256,3,1), D(1,6), P(5,3), C(64,3,1), D(2,6), P(3,2), C(512,1,1), D(3,6), C(512,1,1), FC(128), D(4,6), FC(128), D(5,6), SM(10)]",svhn,2132736,10,0.00016,0.319,0.5338,0.6902,0.6768,0.7142,0.7376,0.7442,0.7486,0.7668,0.7858,0.7958,0.798,0.798,0.8,0.8022,0.805,0.8038,0.8042,0.804,0.8044
"[C(128,5,1), C(256,1,1), D(1,6), C(64,1,1), C(128,5,1), D(2,6), P(2,2), C(64,1,1), D(3,6), C(512,5,1), C(512,5,1), D(4,6), C(256,5,1), C(256,3,1), D(5,6), C(512,5,1), C(512,5,1), D(6,6), SM(10)]",svhn,27895168,13,0.001,0.8362,0.8958,0.9084,0.9112,0.9136,0.9346,0.9368,0.9414,0.9372,0.9374,0.9472,0.9472,0.948,0.9474,0.9472,0.9456,0.9478,0.9478,0.9476,0.9476
"[C(256,1,1), C(512,3,1), D(1,6), C(128,1,1), C(128,3,1), D(2,6), P(5,3), C(64,5,1), D(3,6), C(512,5,1), C(128,5,1), D(4,6), C(256,3,1), C(256,5,1), D(5,6), C(256,3,1), C(64,1,1), D(6,6), SM(10)]",svhn,6599424,13,0.00016,0.776,0.8528,0.8928,0.8938,0.914,0.9284,0.9298,0.9332,0.934,0.9376,0.9402,0.9424,0.942,0.9426,0.9422,0.943,0.9432,0.9432,0.943,0.9424
"[C(64,1,1), C(64,5,1), D(1,5), C(256,1,1), C(256,3,1), D(2,5), C(128,5,1), P(5,3), D(3,5), C(128,5,1), C(256,3,1), D(4,5), C(128,1,1), P(5,3), D(5,5), GAP(10), SM(10)]",svhn,2266560,12,0.001,0.5014,0.7992,0.8616,0.8756,0.8874,0.9102,0.9156,0.9148,0.921,0.9238,0.9268,0.9282,0.93,0.9282,0.9324,0.9334,0.9324,0.9324,0.9328,0.9322
"[C(256,5,1), C(256,5,1), D(1,1), SM(10)]",svhn,3296000,3,0.00016,0.6016,0.6886,0.7108,0.712,0.6792,0.7464,0.7534,0.7512,0.7574,0.758,0.7582,0.7572,0.7766,0.8002,0.8142,0.8172,0.8196,0.8192,0.8212,0.8224
"[C(512,3,1), C(64,3,1), D(1,1), SM(10)]",svhn,345600,3,0.000064,0.3518,0.6808,0.711,0.7176,0.734,0.7446,0.7556,0.778,0.7924,0.8026,0.8178,0.8174,0.8202,0.82,0.8202,0.8228,0.824,0.823,0.8234,0.8232
"[C(64,5,1), P(3,2), D(1,1), SM(10)]",svhn,4800,3,0.001,0.4272,0.528,0.5876,0.582,0.6308,0.6856,0.6978,0.7126,0.7242,0.7324,0.7494,0.7528,0.756,0.7558,0.7624,0.765,0.7658,0.769,0.7662,0.7644
"[C(256,3,1), C(64,3,1), D(1,1), SM(10)]",svhn,191232,3,0.00016,0.4742,0.6934,0.787,0.767,0.7926,0.7998,0.8088,0.8152,0.82,0.8208,0.8196,0.8194,0.8208,0.8216,0.8204,0.8252,0.827,0.826,0.8272,0.8266
"[C(512,5,1), P(3,2), D(1,4), C(256,5,1), C(256,1,1), D(2,4), C(256,3,1), C(256,1,1), D(3,4), C(256,1,1), C(128,1,1), D(4,4), SM(10)]",svhn,4150784,9,0.001,0.565,0.7652,0.8134,0.8516,0.8642,0.8758,0.87,0.8804,0.8804,0.8884,0.902,0.9028,0.9012,0.9048,0.9084,0.9114,0.9096,0.911,0.9118,0.9128
"[C(128,1,1), C(128,5,1), D(1,1), SM(10)]",svhn,819584,3,0.00016,0.528,0.5636,0.1884,0.1954,0.4706,0.5158,0.5332,0.5416,0.5556,0.7432,0.7744,0.776,0.7782,0.7874,0.792,0.7978,0.7966,0.8,0.799,0.8008
"[C(64,3,1), C(64,1,1), D(1,6), C(256,1,1), C(256,1,1), D(2,6), C(256,5,1), C(256,1,1), D(3,6), C(512,1,1), C(512,1,1), D(4,6), C(512,1,1), C(512,3,1), D(5,6), C(256,3,1), C(512,5,1), D(6,6), SM(10)]",svhn,15816384,13,0.0004,0.7024,0.793,0.8436,0.8652,0.8762,0.8972,0.905,0.9108,0.9152,0.9168,0.9238,0.9246,0.9268,0.927,0.9278,0.9274,0.9264,0.9266,0.9272,0.927
"[C(128,5,1), P(5,3), D(1,1), SM(10)]",svhn,9600,3,0.001,0.5088,0.572,0.6082,0.6558,0.6504,0.7142,0.7386,0.7356,0.7292,0.7376,0.75,0.7502,0.7494,0.7502,0.7558,0.756,0.7576,0.7576,0.7548,0.7594
"[C(128,1,1), C(512,3,1), D(1,2), C(256,5,1), C(256,1,1), D(2,2), SM(10)]",svhn,3998080,5,0.0004,0.8038,0.8276,0.845,0.8474,0.8388,0.8662,0.8672,0.8692,0.8712,0.872,0.8816,0.882,0.8814,0.884,0.8852,0.8812,0.8832,0.8832,0.8834,0.8842
"[C(512,3,1), SM(10)]",svhn,2373120,2,0.001,0.6644,0.6322,0.7338,0.7002,0.7288,0.781,0.7796,0.7826,0.7774,0.7642,0.7792,0.7822,0.7742,0.7744,0.7734,0.7778,0.7748,0.773,0.7728,0.772
"[C(64,1,1), C(64,3,1), D(1,4), C(64,5,1), C(256,3,1), D(2,4), C(128,5,1), C(64,3,1), D(3,4), C(64,1,1), SM(10)]",svhn,1188032,8,0.001,0.3682,0.7776,0.8294,0.8378,0.8518,0.8556,0.8526,0.8664,0.8576,0.8606,0.8772,0.8758,0.8798,0.8778,0.8776,0.8888,0.8884,0.8888,0.8896,0.889
"[C(128,3,1), P(2,2), D(1,6), C(512,5,1), C(128,1,1), D(2,6), C(128,5,1), C(512,5,1), D(3,6), P(5,3), C(256,1,1), D(4,6), C(64,1,1), C(512,1,1), D(5,6), C(512,1,1), P(2,2), D(6,6), SM(10)]",svhn,4197760,13,0.00016,0.3472,0.6734,0.7988,0.857,0.8816,0.8986,0.904,0.908,0.9146,0.9112,0.9164,0.9188,0.9182,0.919,0.9204,0.9202,0.9208,0.9192,0.9198,0.921
"[C(128,3,1), SM(10)]",svhn,150912,2,0.001,0.7048,0.692,0.7256,0.7236,0.706,0.746,0.7388,0.7332,0.7198,0.7088,0.744,0.7424,0.739,0.7368,0.7328,0.7402,0.7382,0.7378,0.7362,0.7372
"[C(256,5,1), C(512,3,1), D(1,3), C(512,1,1), C(128,5,1), D(2,3), P(5,3), C(64,5,1), D(3,3), GAP(10), SM(10)]",svhn,3304832,8,0.0004,0.379,0.671,0.8072,0.8404,0.8872,0.8972,0.9006,0.9,0.9042,0.9066,0.9092,0.9062,0.9098,0.9094,0.91,0.9128,0.9112,0.9114,0.9128,0.9132
