net,training_dataset,num_params,depth,lr,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20
"[C(64,3,1), C(256,1,1), D(1,4), C(128,5,1), C(64,1,1), D(2,4), C(256,5,1), C(256,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,4122304,8,0.0004,0.7372,0.8622,0.8862,0.887,0.8898,0.9178,0.9118,0.912,0.9102,0.9106,0.9154,0.9156,0.916,0.9158,0.9144,0.9152,0.915,0.9146,0.916,0.9156
"[C(128,1,1), C(128,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(256,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,5226880,8,0.0004,0.685,0.8484,0.8776,0.8734,0.8862,0.9104,0.9118,0.907,0.9068,0.9038,0.9086,0.9098,0.9094,0.9088,0.9088,0.9094,0.9076,0.908,0.9078,0.9086
"[C(64,3,1), C(128,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(256,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,5220032,8,0.0004,0.7632,0.868,0.884,0.894,0.8908,0.9212,0.9222,0.915,0.914,0.9128,0.9186,0.9178,0.918,0.9188,0.9172,0.9178,0.918,0.9178,0.9186,0.9176
"[C(64,3,1), C(256,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(64,1,1), C(512,5,1), D(3,4), C(512,1,1), C(64,3,1), D(4,4), SM(10)]",svhn,2561728,9,0.00016,0.2762,0.8304,0.8662,0.8796,0.8922,0.8994,0.9008,0.9052,0.9062,0.9114,0.914,0.9148,0.9164,0.9166,0.917,0.9178,0.9174,0.9174,0.918,0.9172
"[C(64,3,1), C(512,5,1), D(1,4), C(256,1,1), C(256,3,1), D(2,4), C(128,1,1), C(256,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,3622592,8,0.001,0.6042,0.8418,0.8592,0.8818,0.8858,0.8976,0.8968,0.8948,0.8954,0.898,0.9028,0.904,0.9038,0.9034,0.9004,0.9032,0.9028,0.902,0.9012,0.9024
"[C(64,3,1), C(256,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), P(5,3), C(256,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,3999424,8,0.001,0.806,0.8678,0.892,0.9002,0.9034,0.9268,0.9208,0.9276,0.9328,0.9342,0.9382,0.9394,0.938,0.939,0.94,0.9394,0.9402,0.941,0.9406,0.9408
"[C(64,3,1), C(256,1,1), D(1,3), P(3,2), C(256,3,1), D(2,3), C(256,5,1), C(128,3,1), D(3,3), SM(10)]",svhn,2688704,7,0.0004,0.5332,0.8106,0.8622,0.8984,0.9092,0.9208,0.9242,0.9262,0.926,0.9294,0.9348,0.9368,0.9352,0.9368,0.9382,0.938,0.9382,0.9384,0.9366,0.9382
"[C(64,3,1), C(64,5,1), D(1,6), C(128,1,1), C(64,5,1), D(2,6), C(256,5,1), C(64,5,1), D(3,6), C(128,5,1), C(128,5,1), D(4,6), P(2,2), C(128,1,1), D(5,6), C(512,5,1), C(128,3,1), D(6,6), SM(10)]",svhn,4142784,13,0.00016,0.831,0.893,0.905,0.9168,0.9228,0.936,0.9376,0.9356,0.9368,0.942,0.943,0.9424,0.9426,0.9442,0.9432,0.9414,0.942,0.9416,0.943,0.9428
"[C(512,5,1), C(64,5,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,4019712,8,0.000064,0.704,0.8132,0.8358,0.8704,0.878,0.9022,0.904,0.9054,0.9058,0.9096,0.9136,0.9148,0.9158,0.916,0.9156,0.9164,0.917,0.9174,0.9176,0.9176
"[C(64,3,1), C(256,5,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,4187840,8,0.00016,0.6172,0.7854,0.847,0.8804,0.8766,0.9126,0.9122,0.912,0.9142,0.9208,0.9216,0.9212,0.921,0.9204,0.921,0.9234,0.924,0.9236,0.9242,0.923
"[C(64,3,1), C(512,5,1), D(1,4), C(256,1,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,4204224,8,0.000026,0.653,0.7526,0.7926,0.823,0.8474,0.8626,0.8666,0.8726,0.8718,0.8798,0.8822,0.8822,0.8838,0.884,0.885,0.8832,0.8828,0.8838,0.8838,0.8834
"[C(64,3,1), C(256,1,1), D(1,5), C(128,5,1), C(256,3,1), D(2,5), P(5,3), C(256,5,1), D(3,5), C(128,5,1), C(512,1,1), D(4,5), C(512,5,1), SM(10)]",svhn,16762560,10,0.001,0.738,0.8358,0.876,0.893,0.896,0.9158,0.919,0.9232,0.9252,0.9208,0.9354,0.9386,0.9364,0.939,0.937,0.9408,0.9398,0.9396,0.9412,0.941
"[C(64,3,1), C(256,5,1), D(1,6), C(128,5,1), C(256,3,1), D(2,6), C(256,5,1), C(256,5,1), D(3,6), C(512,5,1), C(64,5,1), D(4,6), C(64,5,1), C(512,5,1), D(5,6), C(256,3,1), C(128,3,1), D(6,6), SM(10)]",svhn,11441856,13,0.00016,0.8198,0.8824,0.9018,0.9078,0.9108,0.9358,0.9332,0.9334,0.9322,0.9296,0.9354,0.9372,0.9326,0.9334,0.9342,0.9344,0.9338,0.9344,0.9344,0.9328
"[C(64,1,1), C(128,3,1), D(1,5), C(64,5,1), C(256,3,1), D(2,5), C(256,5,1), P(3,2), D(3,5), C(64,5,1), C(64,5,1), D(4,5), C(64,1,1), SM(10)]",svhn,2584768,10,0.00016,0.7844,0.8698,0.8938,0.9034,0.9176,0.9236,0.9254,0.9276,0.928,0.9292,0.9356,0.9358,0.9364,0.9352,0.9366,0.9376,0.937,0.9372,0.9376,0.938
"[C(128,3,1), P(2,2), D(1,4), C(128,5,1), P(2,2), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), SM(10)]",svhn,2256256,8,0.00016,0.3098,0.7842,0.8524,0.863,0.8886,0.9038,0.9082,0.911,0.9092,0.9136,0.9214,0.9222,0.9218,0.9238,0.9224,0.9234,0.9232,0.923,0.9222,0.9238
"[C(64,3,1), C(256,1,1), D(1,4), C(128,5,1), C(256,3,1), D(2,4), C(256,5,1), C(64,5,1), D(3,4), C(128,5,1), C(64,3,1), D(4,4), SM(10)]",svhn,3495616,9,0.000064,0.5968,0.8026,0.848,0.8802,0.892,0.905,0.9068,0.909,0.9132,0.9146,0.9188,0.9192,0.9184,0.9208,0.9208,0.9214,0.9218,0.9212,0.921,0.921
"[C(128,3,1), P(2,2), D(1,3), C(128,5,1), C(256,3,1), D(2,3), P(5,3), C(128,3,1), D(3,3), SM(10)]",svhn,1150336,7,0.001,0.3968,0.622,0.7698,0.8118,0.8326,0.844,0.8498,0.8578,0.8596,0.8704,0.8738,0.877,0.8796,0.8816,0.8818,0.885,0.8836,0.8848,0.8852,0.8862
